timestamp,price,qty
2025-12-06T18:48:06,886.4,0
2025-12-06T18:48:10,886.4,0
2025-12-06T18:48:14,886.4,0
2025-12-06T18:48:18,886.4,0
2025-12-06T18:48:22,886.4,0
2025-12-06T18:48:27,886.4,0
2025-12-06T18:56:56,886.4,0
2025-12-06T18:57:01,886.4,0
2025-12-06T18:57:05,886.4,0
2025-12-06T18:57:10,886.4,0
2025-12-06T18:57:14,886.4,0
2025-12-06T18:57:18,886.4,0
2025-12-06T18:57:22,886.4,0
2025-12-06T18:57:26,886.4,0
2025-12-06T18:57:31,886.4,0
2025-12-06T18:57:35,886.4,0
2025-12-06T18:57:39,886.4,0
2025-12-06T18:57:44,886.4,0
2025-12-06T18:57:48,886.4,0
2025-12-06T18:57:53,886.4,0
2025-12-06T18:57:57,886.4,0
2025-12-06T18:58:01,886.4,0
2025-12-06T18:58:07,886.4,0
2025-12-06T18:58:11,886.4,0
2025-12-06T18:58:16,886.4,0
2025-12-06T18:58:20,886.4,0
2025-12-06T18:58:24,886.4,0
2025-12-06T18:58:28,886.4,0
2025-12-06T18:58:33,886.4,0
2025-12-06T18:58:37,886.4,0
2025-12-06T18:58:41,886.4,0
2025-12-06T18:58:46,886.4,0
2025-12-06T18:58:51,886.4,0
2025-12-06T19:01:21,886.4,0
2025-12-06T19:01:25,886.4,0
2025-12-06T19:01:29,886.4,0
